Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080514,06,5,勁擊,3,楊啟棠,123,4,56,苗,1070,5.8,4.1,3.6,492.0,300.0,1.4-2,10  8  8  10,1,14.2	22.7	24.9	25.0	23.3,(1.50.1),頭馬
20080514,06,6,天鷹,6,徐君禮,122,7,55,吳,1043,19.0,32.0,39.0,45.0,34.0,7-12,6  7  7  7,2,13.9	22.8	24.9	24.8	23.7,(1.50.1),頸
20080514,06,8,鬚刨王,4,柏寶,119,6,47,李,1139,9.1,7.7,4.9,361.0,250.0,1.5-2.2,9  10  10  11,3,14.1	23.1	24.8	24.9	23.5,(1.50.4),2
20080514,06,7,龍馬精神,8,潘頓,126,11,54,薛,1005,19.0,25.0,33.0,53.0,47.0,5.2-9.1,1  2  3  2,4,13.7	22.5	24.8	25.1	24.5,(1.50.6),3-1/2
20080514,06,9,育成明駒,6,鄭雨滇,115,1,45,蔡,1166,13.0,24.0,28.0,63.0,48.0,5.2-9,5  4  4  4,5,13.8	22.7	24.8	25.0	24.4,(1.50.7),3-3/4
20080514,06,4,悅勝豪情,6,韋達,129,5,57,徐,988,5.6,4.5,4.9,362.0,320.0,1.4-1.9,7  6  6  8,6,14.0	22.6	24.9	25.0	24.3,(1.50.8),4-1/4
20080514,06,12,飛魚大王,4,普萊西,115,2,41,姚,1038,9.2,11.0,11.0,149.0,103.0,2.8-4.5,4  1  2  1,7,13.7	22.4	24.8	25.2	24.8,(1.50.9),5
20080514,06,1,小戰士,5,湯智傑,126,9,59,方,1170,7.0,15.0,12.0,145.0,124.0,2.4-3.9,2  5  5  5,8,13.7	22.7	24.9	25.0	24.7,(1.51.0),5-1/2
20080514,06,11,愛心大使,5,冼文諾,116,10,44,呂,1192,10.0,14.0,13.0,135.0,97.0,2.9-4.8,12  12  11  6,9,14.4	23.2	24.5	24.4	24.7,(1.51.2),7
20080514,06,10,春風德宜,5,黎海榮,114,3,45,蘇,1001,18.0,33.0,38.0,46.0,33.0,7.1-12,11  11  12  12,10,14.2	23.4	24.8	25.0	24.2,(1.51.6),9-1/2
20080514,06,2,綠駿之威,6,賴維銘,128,12,58,葉,1173,16.0,18.0,23.0,75.0,54.0,4.6-8,3  3  1  3,11,13.7	22.6	24.4	25.4	25.9,(1.52.0),11-3/4
20080514,06,3,雙喜孖寶,7,杜利萊,129,8,57,時,1081,9.2,4.9,7.3,245.0,130.0,2.3-3.7,8  9  9  9,12,14.0	22.9	24.9	24.8	26.8,(1.53.4),21
