Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080525,08,2,包裝大師,5,韋達,126,2,120,何,1076,14.0,13.0,12.0,97.0,57.0,1.1-4.4,3   3   4   4   3,1,25.5	23.8	26.0	25.8	23.3	22.9,(2.27.3),頭馬
20080525,08,1,爆冷,6,白德民,126,6,129,摩,1099,1.8,1.3,1.3,904.0,483.0,1-1.1,7   7   7   8   8,2,25.8	23.9	26.0	25.9	23.3	22.5,(2.27.4),1/2
20080525,08,6,旺國手,4,高雅志,126,5,92,方,1077,17.0,29.0,25.0,46.0,34.0,1.3-6.9,10   10   10   7   5,3,26.1	24.1	25.9	25.4	23.2	23.6,(2.28.3),6-1/4
20080525,08,3,爆炸,5,冼文諾,126,3,113,摩,1155,23.0,50.0,49.0,23.0,16.0,2.1-13,2   2   2   2   2,4,25.1	23.9	26.0	25.6	23.6	24.1,(2.28.3),6-1/4
20080525,08,4,家福,5,柏寶,126,1,108,蘇,1074,4.5,4.6,5.1,231.0,125.0,1-2.4,6   6   6   6   6,5,25.8	23.8	25.9	25.8	23.5	23.9,(2.28.7),9
20080525,08,7,駕高,5,普萊西,126,8,91,姚,1037,18.0,55.0,34.0,33.0,22.0,1.7-10,4   5   5   5   7,6,25.6	23.9	26.0	25.8	23.5	24.3,(2.29.1),11-1/4
20080525,08,5,璐悅,4,鄭雨滇,126,9,97,葉,1191,30.0,75.0,59.0,19.0,16.0,2.1-14,1   1   1   1   1,7,25.0	23.6	26.2	25.5	23.7	25.3,(2.29.3),13
20080525,08,10,倫敦快車,5,潘頓,126,4,71,薛,1102,28.0,69.0,93.0,12.0,16.0,2.1-13,9   8   8   9   9,8,26.0	23.9	25.9	25.8	23.5	24.5,(2.29.6),14-1/2
20080525,08,8,狂野之聲,5,巫斯義,126,7,91,李,1130,8.9,23.0,24.0,48.0,39.0,1.2-6.2,5   4   3   3   4,9,25.7	23.6	25.8	25.7	23.7	25.1,(2.29.6),14-3/4
20080525,08,9,英明大師,5,徐君禮,126,10,84,東,1062,35.0,99.0,99.0,9.0,12.0,2.6-18,8   9   9   10   10,10,26.0	24.1	25.9	25.8	23.6	24.4,(2.29.8),15-3/4
