Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20090301,11,6,鳥語花香,4,白德民,124,13,91,摩,1130,1.4,1.4,1.4,1352.0,399.0,1.0,3  2  2,1,13.8	22.1	23.4	23.1,(1.22.4),頭馬
20090301,11,9,好先生,4,黎海榮,119,1,88,何,1055,43.0,99.0,77.0,24.0,36.0,10.0,9  9  8,2,14.1	22.3	23.3	22.8,(1.22.6),1-1/2
20090301,11,1,確叻迅,4,柏寶,133,3,100,時,1114,16.0,8.6,8.9,210.0,194.0,2.0,8  7  6,3,14.1	22.3	23.3	23.1,(1.22.7),2
20090301,11,4,醉味,4,馬偉昌,118,5,85,摩,1131,26.0,16.0,16.0,116.0,113.0,3.4,11  12  12,4,14.3	22.5	23.3	22.6,(1.22.8),2-1/4
20090301,11,7,魄力寶,5,韋達,123,12,90,蔡,1164,18.0,22.0,20.0,91.0,105.0,3.7,14  14  14,5,14.5	22.5	23.3	22.6,(1.22.8),2-1/2
20090301,11,2,威利來,5,蔡明紹,122,2,99,東,1130,10.0,8.9,9.2,203.0,203.0,1.9,4  5  7,6,13.9	22.3	23.5	23.1,(1.22.9),3
20090301,11,8,鑽飾光芒,5,湯智傑,118,14,88,姚,1145,71.0,99.0,99.0,15.0,19.0,19.0,2  1  1,7,13.8	22.0	23.4	23.9,(1.23.1),4-1/4
20090301,11,13,永旺財,5,鄭雨滇,113,4,82,沈,1070,34.0,66.0,84.0,22.0,36.0,10.0,7  8  9,8,14.1	22.3	23.6	23.5,(1.23.4),6-1/4
20090301,11,10,無極,6,普萊西,119,8,86,蘇,1187,39.0,81.0,99.0,17.0,24.0,15.0,12  13  13,9,14.3	22.5	23.4	23.3,(1.23.5),6-3/4
20090301,11,5,大將風範,5,路易斯,125,6,92,東,1044,56.0,58.0,70.0,26.0,44.0,8.7,6  10  11,10,14.0	22.5	23.5	23.5,(1.23.5),7
20090301,11,11,太陽勁力,5,韋健仕,119,7,86,李,1160,46.0,51.0,58.0,32.0,39.0,9.9,13  11  10,11,14.3	22.3	23.4	23.6,(1.23.5),7
20090301,11,14,雄風,5,徐君禮,111,9,81,姚,1046,24.0,19.0,18.0,104.0,132.0,2.9,10  6  3,12,14.1	22.1	23.2	24.3,(1.23.7),8-1/4
20090301,11,3,風雲遊子,6,潘頓,131,10,98,薛,1212,13.0,28.0,36.0,52.0,50.0,7.6,1  3  4,13,13.7	22.3	23.5	24.4,(1.23.9),9-1/4
20090301,11,12,期望,5,錢健明,118,11,85,文,1062,58.0,99.0,99.0,13.0,15.0,25.0,5  4  5,14,13.9	22.3	23.4	24.4,(1.23.9),9-1/2
