Index,acquirers,0,1,2,3,4,5,6,7,8,9
2956,Chemical Financial,CHEMICAL FINANCIAL CORPORATION,BNH FINANCIAL,"LAKE CENTRAL FINANCIAL, INC.","CHEAHA FINANCIAL GROUP, INC.",EAGLE FINANCIAL CORP.,"CHOICE FINANCIAL HOLDINGS, INC.",FIRST COMMERCIAL FINANCIAL CORP,"CENTRAL FINANCIAL HOLDINGS, INC.",EMCLAIRE FINANCIAL CORP,GREATER CHICAGO FINANCIAL CORP.
2957,First Merchants,FIRST MERCHANTS CORPORATION,FIRST FARMERS AND MERCHANTS CORPORATION,FARMERS & MERCHANTS BANCORP,"FARMERS & MERCHANTS BANCORP, INC.","FARMERS & MERCHANTS AGENCY, INC.","FARMERS AND MERCHANTS BANCORP, THE","FARMERS & MERCHANTS BANCSHARES, INC.","FARMERS & MERCHANTS INVESTMENT, INC.",FIRST MCHENRY CORPORATION,"MINERS AND MERCHANTS BANCORP, INC."
2958,Plaza Bank,"PLAZA AGENCY, INC.","ESPUELA BANK SHARES, INC.",CHAMPLAIN BANK CORPORATION,SOLVAY BANK CORP.,MCLEAN BANK HOLDING COMPANY,"LAKOTA BANK HOLDING COMPANY, INC.","ADAM BANK GROUP, INC.",GREAT PLAINS BANK CORPORATION,ISABELLA BANK CORPORATION,KANSAS BANK CORPORATION
2959,Cathay Gen Bancorp,CATHAY GENERAL BANCORP,PATHWAY BANCORP,CNB BANCORP,SAN BANCORP.,CU BANCORP,NCAL BANCORP,BNC BANCORP,"COASTWAY BANCORP, INC",FNB BANCORP,MNB BANCORP
2960,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.","COMMUNITY BANKS OF GEORGIA, INC.",BRIDGE COMMUNITY BANK ESOP,"UNITED COMMUNITY BANCORP, INC.",COMMUNITY BANK CORP.,"UNITED COMMUNITY BANCSHARES, INC.",COMMUNITY BANCORP,"VIRGINIA COMMUNITY BANKSHARES, INC.","FLORIDA COMMUNITY BANKSHARES, INC.","UNITED BANKSHARES, INC."
2961,Farmers National Banc,FARMERS NATIONAL BANC CORP.,"FARMERS NATIONAL BANCSHARES, INC.",FIRST NATIONAL BANCORP,FIRST NATIONAL BANK CORP.,"MIDAMERICA NATIONAL BANCSHARES, INC.","AMERICAN NATIONAL BANCSHARES, INC.","WAGGONER NATIONAL BANCSHARES, INC.",AMERICAN NATIONAL BANKSHARES INC.,"MARS NATIONAL BANCORP, INC.",CALIFORNIA FIRST NATIONAL BANCORP
2962,Ameris Bancorp,AMERIS BANCORP,AMERIANA BANCORP,"AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP,"ANDERSON BANCORP, INC.","GERMAN AMERICAN BANCORP, INC.","AMERICAN METRO BANCORP, INC.","USAMERIBANCORP, INC.","AMERICAN BANCOR, LTD.","AMERICAN BANCORP OF OKLAHOMA, INC."
2963,Sunshine Bancorp,SIDNEY BANCORP,SUSSEX BANCORP,CU BANCORP,FIRST BUSINESS BANCORP CO.,MISSION BANCORP,SAN BANCORP.,"SUNSET BANCORP, INC.",INDIANA BUSINESS BANCORP,UFS BANCORP,U.S. BANCORP
2964,Horizon Bancorp,HORIZON BANCORP,"HORIZON BANCORP, INC.",BOR BANCORP,"HONOR BANCORP, INC.",BRIGHTON BANCORP,RSNB BANCORP,"HOWARD BANCORP, INC.",CU BANCORP,LINCOLN BANCORP,HOMETOWN BANC CORP
2965,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,INTRUST FINANCIAL CORPORATION,DAVIS TRUST FINANCIAL CORPORATION,VILLAGE BANK AND TRUST FINANCIAL CORP.,COMMUNITY TRUST FINANCIAL CORPORATION,FIRST FINANCIAL CORPORATION,WOODTRUST FINANCIAL CORP,"TGR FINANCIAL, INC.",MAUCH CHUNK TRUST FINANCIAL CORP.,"KRAUSE FINANCIAL, INC."
2966,PacWest Bancorp,PACWEST BANCORP,CALWEST BANCORP,ALL WEST BANCORP,COAST BANCORP,CU BANCORP,WEST BEND BANCORP.,CUSTER BANCORP.,PLUMAS BANCORP,"EAST WEST BANCORP, INC.",ATBANCORP
2967,WSFS Financial,STIFEL FINANCIAL CORP.,FIRST FINANCIAL BANCORP,"WSB FINANCIAL, LTD","FSB FINANCIAL SERVICES, INC.","FTS FINANCIAL, INC.",FIRSTAR FINANCIAL CORP.,SYNOVUS FINANCIAL CORP.,LAWSON FINANCIAL CORPORATION,"GLAASS FINANCIAL, LLC",FSB FINANCIAL CORP
2968,Howard Bancorp,"HOWARD BANCORP, INC.",HAZARD BANCORP,ORCHARD BANCORP.,BOR BANCORP,WAYTRU BANCORP,PATHWAY BANCORP,HORIZON BANCORP,HEARTLAND BANCCORP,"HEADWATERS BANCORP, INC.",SAN BANCORP.
